Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target
23.95833333,259,101.5,1.375,1.458333333,28.33333333,270.5,125.9166667,1.75,0.791666667,0,0
19.75,217.875,112.8333333,1.916666667,1.416666667,23.375,234.3333333,117.4583333,1.458333333,1.125,0.083333333,0
20.375,238.9583333,114.125,1.166666667,0.791666667,24.20833333,273.9166667,104.9166667,1.166666667,0.75,0,0
24.38461538,270.6923077,106.7307692,1.307692308,0.923076923,19.07692308,207.5,100.0769231,1.076923077,1,0,1
19.73076923,234.0384615,108.8846154,1.153846154,0.846153846,21.65384615,221.9230769,135.5384615,1.307692308,0.615384615,0,0
19.76923077,241.4615385,106.2692308,1.153846154,1.384615385,22.30769231,215.2307692,117.8461538,1.576923077,1,0,1
24.84615385,243.0769231,105.8461538,1.192307692,0.846153846,22.34615385,264.8076923,124.8076923,1.192307692,0.961538462,0,1
21.69230769,218.4230769,136,1.307692308,1,19.23076923,214.3846154,106.5,1.769230769,0.884615385,0.076923077,0
26.07692308,290.6538462,96.26923077,1,1.038461538,23.57692308,208.6538462,149.4615385,1.384615385,1,0.076923077,1
21.88461538,227.5384615,120.3076923,1.730769231,0.653846154,21.23076923,233.6153846,114.9230769,1.230769231,1.269230769,0.076923077,0
20.53846154,231.0769231,107.4615385,1.884615385,0.653846154,21.5,265.1538462,99.92307692,1.384615385,1.192307692,0.076923077,1
24.5,243.0384615,125.9230769,1.384615385,1.576923077,24,239.7692308,120.6153846,2.346153846,0.846153846,-0.076923077,0
24.26923077,271.7692308,117.5769231,1.576923077,1.076923077,23.23076923,265.5769231,104.8076923,1.576923077,1.153846154,0,1
19.80769231,210.6923077,127.7307692,1.576923077,1.307692308,22.34615385,211.0769231,111.4615385,1.692307692,1.230769231,0,1
19.38461538,242.6153846,96,1.192307692,1.346153846,25.53846154,261.7692308,121.8846154,0.807692308,0.692307692,0,0
26.53846154,227.5769231,149.8076923,1.769230769,0.769230769,22.15384615,250.6153846,111.2307692,1.576923077,0.653846154,0,1
20.46153846,224.0769231,104.3846154,1.461538462,0.615384615,18.11538462,236.6923077,101.8846154,1.730769231,1.115384615,0.076923077,0
23.23076923,238.6923077,114.8846154,0.923076923,0.884615385,22.38461538,272.1923077,103.8461538,1.115384615,1.192307692,0,1
17.61538462,227.8846154,105.2307692,1.653846154,1.461538462,20.26923077,217.2692308,99.96153846,1.192307692,1.115384615,0,0
23.46428571,224.5,124.1428571,1.357142857,0.928571429,14.39285714,208.6785714,90.07142857,1.821428571,1.285714286,0.071428571,1
23.25,237.3214286,97.75,1.678571429,1.214285714,25.85714286,258.3571429,124.4285714,1.428571429,1.142857143,0.071428571,1
20.42857143,231.1428571,102.8571429,0.892857143,0.964285714,19.46428571,230.9642857,109.1428571,1.392857143,0.964285714,0,1
20.57142857,244.5357143,111.3214286,1.464285714,1.25,28.53571429,234.1071429,135.5714286,1,0.535714286,0,0
18.03571429,218.6071429,100.4285714,1.642857143,0.928571429,21.25,238.7142857,120.75,1.178571429,0.928571429,0.071428571,0
