Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target,Home Twitter Sentiment,Away Twitter Sentiment,Home Twitter Rate,Away Twitter Rate,Unnamed: 0
25.43333333,220.05,146.95,1.2,0.6,16.61666667,177.6833333,105.95,1.183333333,0.65,0.266666667,1,0.129039011,0.083141081,0.260869565,0.524193548,
23.5,193,128.1666667,1.583333333,1,20.91666667,262.3333333,115.9166667,1.833333333,1,0,1,0.108024138,0.125309605,-1.31147541,-0.078431373,
21.25,258.5,109.25,1.25,0.833333333,16.33333333,212.25,101.5833333,2.083333333,1,0,0,0.220202521,0.042435664,-1.506550218,-1.582491582,
14.9,246.5,89.6,1.6,1.4,22.6,194.9,120.2,1.1,0.9,0.2,0,0.080586928,0.118641049,-2.170731707,-1.647966339,
16.78333333,186.5166667,105.3833333,1.816666667,1.4,18.75,214.95,112.7833333,1.5,1.65,-0.1,1,0.117338158,0.199307273,6.061452514,-2.276422764,
24.71666667,223.6833333,137.8833333,0.883333333,0.633333333,18.36666667,222.3,112.9,1.183333333,1.05,0.266666667,1,0.122234559,-0.0113,0.057142857,-2.154471545,
19.25,265.75,107.0833333,1.666666667,1,17.5,246.25,88.33333333,1.5,1,0.166666667,0,0.113737591,0.144864828,-0.306905371,-2.679509632,
21.03333333,224.7166667,122.9166667,1.333333333,1.033333333,18.41666667,255.7833333,100.6166667,1.366666667,1.516666667,0.066666667,1,0.109871233,0.114172193,-1,2.55952381,
23.6,234.5,113.3,1.2,1.3,18.5,246.9,78.9,2.1,1.2,0,1,0.232800571,0.192219444,-1.797752809,3.875,
24.68333333,309.7,113.05,1.316666667,1.116666667,25.9,211.8,107.35,1.05,0.983333333,0.266666667,0,0.112278358,0.086956838,0.152284264,-3.150684932,
22.91666667,267,108.4166667,1.416666667,0.416666667,21.66666667,209.4166667,128.9166667,1.75,1.083333333,0,0,0.128864667,0.105775,0.054945055,-1.883333333,
20.38333333,228.7333333,102.0166667,1.083333333,0.983333333,18.03333333,217.9833333,118.2666667,1.383333333,1.283333333,0.1,1,0.085948606,0.110320139,-0.57544757,-1.471571906,
20.03333333,254.7666667,93.91666667,1.533333333,1.283333333,22.26666667,221.25,118.5666667,1.416666667,0.866666667,0.266666667,0,0.163673039,0.132889615,2.983606557,9.047464239,
19.4047619,202.4285714,120.4642857,0.845238095,1.404761905,15.60714286,213.4285714,101.9047619,2.55952381,1.19047619,0.095238095,1,-0.003245946,0.050646405,-0.405405405,-2.537878788,
21.66666667,288.6309524,96.42857143,2.011904762,1.238095238,20.95238095,244.952381,117.7738095,1.702380952,1.083333333,0.238095238,1,0.098425581,0.190052191,1.863636364,2.698113208,
22.96428571,210.5714286,141.7261905,1.071428571,0.880952381,20.3452381,253.1666667,94.64285714,1.571428571,1.05952381,0.071428571,0,0.090360251,0.1627168,3.262454435,-0.115606936,
26.3452381,281.9047619,107.5,0.833333333,0.869047619,21.95238095,201.452381,122.5238095,1.30952381,1.202380952,0.071428571,0,0.106901274,0.027234091,-2.669404517,-1,
22.25,257.25,100.5,1.5,0.833333333,21,236.1666667,112.5,1.25,1.25,0.166666667,0,0.093117544,0.023697458,-2.145669291,-1.099137931,
22.28571429,222.8571429,124.2857143,1.285714286,1.071428571,21.42857143,266.5,87.28571429,1.642857143,0.785714286,0.142857143,1,0.154851613,0.068480263,1.492537313,0.543478261,
29,194.3333333,175.5,1,0.333333333,19.41666667,229,100.1666667,1.416666667,0.916666667,0,1,0.140106135,0.151577451,0.423728814,-2.372262774,
21,294.8571429,101.5,2,1.285714286,24.85714286,181.2142857,108.5,1.642857143,0.857142857,0.142857143,1,0.098293258,0.140218182,-1.822660099,0.296296296,
18.83333333,186.5833333,124.6666667,2.333333333,1.5,21.5,233,119,1.75,0.833333333,0.333333333,0,0.212484615,0.047974667,-2.79342723,2.258064516,
21.70238095,243.0714286,117.9642857,2.047619048,1.071428571,21.78571429,210.6190476,117.1785714,1.273809524,0.714285714,0.071428571,1,0.142837912,0.144152308,2.139037433,-1.447368421,
24.41666667,221.3333333,105.1666667,0.75,0.833333333,20.58333333,245.3333333,116.9166667,1.416666667,1.5,0,1,0.17998843,0.041472768,-0.441595442,3.056872038,
17.33333333,270.9285714,78.11904762,2.023809524,1.464285714,21.27380952,191.1547619,113.7738095,1.904761905,0.702380952,-0.071428571,1,0.13967929,0.131924556,2.34375,0.313807531,
27.5,319.5833333,99.58333333,1.416666667,0.5,23.16666667,237.25,139,0.916666667,0.833333333,0.333333333,1,0.060633745,0.183825263,8.977777778,10.79545455,
17.5,216.7857143,101.8571429,2.214285714,1.142857143,24.07142857,217.5714286,138.6428571,1.428571429,0.928571429,0.142857143,0,0.187201744,0.114441209,2.881944444,5.081743869,
23.71428571,230.2142857,143.4285714,1.071428571,1.357142857,19.21428571,254.1428571,100.3571429,1.714285714,1,0.142857143,1,0.148096591,0.118958228,5.535714286,0.5,
21.28571429,227.7857143,108.2142857,1.214285714,0.785714286,18.71428571,228.2142857,110.2857143,1.071428571,0.928571429,0,1,0.165740892,0.137650265,3.347107438,1.906077348,
23.01785714,221.8392857,109.5625,0.919642857,0.866071429,27.19642857,322.2767857,108.1696429,1.294642857,0.723214286,-0.071428571,0,-0.017229825,0.136381757,-3.45323741,2.170542636,
19.42857143,246.5714286,101.3571429,1.428571429,1.214285714,24.78571429,241.9285714,112,0.714285714,0.857142857,0.142857143,1,0.160569847,0.252481818,3.866995074,2.34375,
20.92857143,247.6428571,85.5,1.857142857,1,23.14285714,217.8571429,141.9285714,1.642857143,0.857142857,0.142857143,0,0.177805263,0.084439529,-0.943708609,-2.455882353,
15.32142857,187.2142857,97.09821429,2.419642857,1.241071429,21.15178571,242.2321429,101.875,1.241071429,1.401785714,0.053571429,0,0.111453289,0.245534395,-0.358974359,-0.446808511,
23.35714286,229.7857143,138.8571429,1.428571429,1.285714286,19.78571429,205.2857143,97.64285714,1.857142857,1.285714286,0,1,-0.041319565,0.227032203,7.294117647,-0.478723404,
19.71428571,203.0714286,87,1.714285714,1,22.5,270.9285714,123,1.785714286,1.214285714,0.142857143,0,0.04645625,0.184211254,2.345679012,4.107845406,
21.96428571,233.4642857,132.4642857,1.910714286,0.928571429,22.14285714,186.8660714,158.9017857,1.026785714,0.464285714,0.071428571,1,0.147988258,0.068605076,3.445692884,2.005208333,
22.42857143,238.8571429,131.2142857,1.642857143,0.714285714,25,269.4285714,103.2142857,1.357142857,0.928571429,0,1,0.11993787,0.052665234,4.621513944,-2.488076312,
24.35714286,236.1160714,109.4285714,1.142857143,0.919642857,19.5,274.3839286,102.2410714,1.044642857,1.535714286,0.071428571,1,0.154247541,0.084172958,-0.281065089,0.682819383,
17.71428571,262.2857143,79.92857143,1.714285714,1.214285714,22.14285714,210.2857143,119,1.714285714,1.071428571,0,0,0.111624852,0.108840701,3.379310345,0.462598425,
20.9375,230.6875,120.625,1.125,0.8125,20.5625,253.125,107.3125,1.1875,1.1875,0,1,0.150650754,0.123312287,0.127118644,-0.891089109,
19.75,220.25,93.4375,1.1875,1.125,18.0625,239.0625,105.8125,1.875,1.5,0,1,0.184570483,0.080925688,-2.675675676,-3.690191388,
21.125,235,116.875,2,1.125,27.25,231.5625,130,1.5625,0.625,0,1,0.115197073,0.038283904,-0.616740088,0.102040816,
21.3125,213.25,114.25,1.3125,1,17.375,196.8125,118.875,1.875,1.75,0.125,1,0.086604598,0.047458482,-1.666666667,0.524861878,
18.3125,249.75,105.75,1.3125,1.5,24.9375,213,115.0625,1.5,0.625,0.125,1,0.132966667,0.135254017,0.72,20.06993007,
25.4375,266.5,106.5,1.625,0.875,20.9375,239.4375,118,1.375,0.875,0.125,1,0.122075235,0.067485311,-0.886075949,-1.975308642,
